# English lemma observations — DERIVED DATA, see ATTRIBUTION.md
# reference: Stanford CoreNLP 4.5.10 lemma annotator (Morpha)
# generated: 2026-08-21T14:35:12.274882Z  tokens=272154  rawObservations=272154  aggregated=181750
# format: word, prevLemma, nextLemma, lemma, count ; '-' = sentence edge ; lemmas/words as CoreNLP emitted them
# word	prevLemma	nextLemma	lemma	count
`	into	src	`	4
src	`	/	src	140
/	src	commonmain	/	121
commonMain	/	/	commonmain	121
/	commonmain	resource	/	38
resources	/	/	resource	34
/	resource	web	/	38
web	/	/	web	38
/	web	`	/	19
`	/	and	`	6
and	`	add	and	2
adds	and	the	add	2
the	add	`	the	2
`	the	generateforgeasset	`	5
generateForgeAssets	`	`	generateforgeasset	28
`	generateforgeasset	gradle	`	5
Gradle	`	task	gradle	5
task	gradle	that	task	2
that	task	bake	that	2
bakes	that	they	bake	2
them	bake	into	they	7
into	they	`	into	2
`	into	borg.trikeshed.forge.generated.forgeassets	`	6
borg.trikeshed.forge.generated.ForgeAssets	`	`	borg.trikeshed.forge.generated.forgeassets	6
`	borg.trikeshed.forge.generated.forgeassets	(	`	6
(	`	bytearray	(	6
ByteArray	(	chunk	bytearray	7
chunk	bytearray	object	chunk	7
objects	chunk	)	object	2
)	object	.	)	2
`	-	forgeapp.kt	`	2
ForgeApp.kt	`	`	forgeapp.kt	16
`	forgeapp.kt	/	`	6
/	`	`	/	196
`	/	ForgePersistenceScript.kt	`	2
ForgePersistenceScript.kt	`	`	ForgePersistenceScript.kt	2
`	ForgePersistenceScript.kt	now	`	2
now	`	reference	now	2
reference	now	the	reference	2
the	reference	generate	the	2
generated	the	object	generate	7
object	generate	.	object	3
.	object	-	.	7
`	-	commit_changes	`	2
commit_changes	`	.	commit_changes	3
.	commit_changes	-	.	3
py	-	`	py	5
`	py	(	`	2
(	`	Jules	(	2
Jules	(	extraction	Jules	2
extraction	Jules	scaffolding	extraction	3
scaffolding	extraction	)	scaffolding	2
)	scaffolding	be	)	2
was	)	drop	be	2
dropped	be	before	drop	3
before	drop	commit	before	2
commit	before	.	commit	2
.	commit	-	.	7
3	-	conflict	3	2
conflicts	3	in	conflict	2
in	conflict	`	in	2
`	in	ForgeApp.kt	`	2
ForgeApp.kt	`	`	ForgeApp.kt	5
`	ForgeApp.kt	/	`	2
`	/	forgepersistencescript.kt	`	6
ForgePersistenceScript.kt	`	`	forgepersistencescript.kt	6
`	forgepersistencescript.kt	/	`	6
`	/	index.html	`	7
index.html	`	`	index.html	9
`	index.html	resolve	`	2
resolved	`	by	resolve	2
by	resolve	take	by	2
taking	by	theirs	take	2
THEIRS	take	on	theirs	2
on	theirs	all	on	2
all	on	three	all	2
three	all	(	three	2
(	three	consistent	(	2
consistent	(	consolidated	consistent	2
consolidated	consistent	-	consolidated	2
-	consolidated	asset	-	2
asset	-	form	asset	2
form	asset	)	form	2
)	form	.	)	2
Skipped	-	branch	skip	2
branches	skip	:	branch	2
:	branch	-	:	2
-	:	`	-	16
/	origin	gh	/	3
gh	/	-	gh	5
-	gh	page	-	14
pages	-	`	page	3
`	page	—	`	2
—	`	no	—	2
no	—	merge	no	2
merge	no	base	merge	2
base	merge	with	base	2
with	base	master	with	2
master	with	(	master	2
(	master	Pages	(	2
Pages	(	deployment	Pages	3
deployment	Pages	root	deployment	3
root	deployment	)	root	2
)	root	;	)	2
;	)	every	;	2
every	;	unique	every	2
unique	every	commit	unique	2
commit	unique	subject	commit	2
subject	commit	be	subject	2
is	subject	supersede	be	2
superseded	be	into	supersede	2
into	supersede	master	into	2
master	into	via	master	2
via	master	other	via	2
other	via	merge	other	2
merges	other	.	merge	2
.	merge	-	.	5
Deployment	-	target	Deployment	2
target	Deployment	,	target	2
,	target	not	,	2
not	,	source	not	2
source	not	-	source	2
-	source	of	-	6
of	-	-	of	7
-	of	truth	-	6
truth	-	work	truth	2
work	truth	.	work	2
.	work	-	.	4
`	-	.	`	4
.	`	-	.	337
/	-	gradlew	/	83
gradlew	/	compilekotlinjvm	gradlew	10
compileKotlinJvm	gradlew	`	compilekotlinjvm	6
`	compilekotlinjvm	→	`	2
→	`	**	→	6
**	→	build	**	4
BUILD	**	successful	build	4
SUCCESSFUL	build	**	successful	4
**	successful	after	**	2
after	**	both	after	2
both	after	merge	both	2
merges	both	(	merge	2
(	merge	pre-existing	(	2
pre-existing	(	warning	pre-existing	2
warnings	pre-existing	only	warning	2
only	warning	,	only	2
,	only	zero	,	2
zero	,	new	zero	2
new	zero	error	new	2
errors	new	)	error	2
)	error	.	)	2
2026-07-19	##	doc	2026-07-19	2
doc	2026-07-19	curation	doc	2
curation	doc	-	curation	2
The	-	n1	the	2
N1	the	–	n1	2
–	n1	n7	–	5
N7	–	finding	n7	4
findings	n7	from	finding	4
the	from	prior	the	2
prior	the	refresh	prior	2
refresh	prior	have	refresh	2
have	refresh	be	have	2
been	have	**	be	2
**	be	apply	**	2
applied	**	to	apply	2
to	apply	`	to	6
`	to	concepts.md	`	5
concepts.md	`	`	concepts.md	20
`	concepts.md	**	`	2
**	`	(	**	12
(	**	not	(	2
not	(	just	not	2
just	not	record	just	2
recorded	just	here	record	2
here	record	)	here	2
)	here	:	)	2
-	-	n1	-	2
N1	-	(	n1	2
(	n1	Forge	(	2
Forge	(	DTO	Forge	2
DTO	Forge	removal	DTO	2
removal	DTO	)	removal	2
)	removal	→	)	2
→	)	§	→	6
§	→	2	§	2
2	§	spine	2	7
spine	2	row	spine	4
row	spine	update	row	2
updated	row	;	update	2
;	update	§	;	2
§	;	8.1	§	2
8.1	§	prose	8.1	4
prose	8.1	describe	prose	2
describes	prose	BlackboardSurface	describe	2
BlackboardSurface	describe	as	BlackboardSurface	4
as	BlackboardSurface	the	as	4
the	as	seed	the	4
seed	the	source	seed	8
source	seed	.	source	2
.	source	-	.	7
-	-	n2	-	2
N2	-	(	n2	2
(	n2	`	(	2
`	(	elastic	`	2
elastic	`	/	elastic	4
/	elastic	`	/	4
`	/	shadow	`	4
shadow	`	remove	shadow	4
removed	shadow	)	remove	2
)	remove	—	)	2
—	)	implicit	—	2
implicit	—	in	implicit	2
in	implicit	the	in	2
the	in	canonical	the	2
canonical	the	-	canonical	2
-	canonical	type	-	4
types	-	rule	type	4
rule	type	;	rule	2
;	rule	not	;	2
not	;	call	not	2
called	not	out	call	4
out	call	separately	out	4
separately	out	(	separately	2
(	separately	decision	(	2
decision	(	:	decision	2
:	decision	cover	:	2
covered	:	by	cover	2
by	cover	the	by	2
the	by	kernel	the	4
kernel	the	-	kernel	4
-	kernel	algebra	-	5
algebra	-	note	algebra	4
note	algebra	)	note	2
)	note	.	)	2
-	-	n3	-	2
N3	-	/	n3	2
/	n3	n4	/	2
N4	/	(	n4	2
(	n4	compile	(	2
compiled	(	-	compile	2
-	compile	out	-	11
out	-	slab	out	2
slab	out	+	slab	2
+	slab	circularqueue	+	2
CircularQueue	+	loud	circularqueue	2
loud	circularqueue	-	loud	2
-	loud	hollow	-	4
hollow	-	)	hollow	2
)	hollow	→	)	2
§	→	0	§	4
0	§	orientation	0	10
orientation	0	have	orientation	4
has	orientation	a	have	4
a	have	"	a	8
"	a	compile	"	4
Compiled	"	-	compile	4
out	-	layer	out	9
layers	out	"	layer	4
"	layer	line	"	4
line	"	.	line	6
.	line	-	.	16
-	-	n5	-	2
N5	-	(	n5	2
(	n5	litebike	(	2
litebike	(	/	litebike	2
NUID	/	spot	nuid	2
spot	nuid	-	spot	2
-	spot	check	-	6
check	-	)	check	2
)	check	→	)	2
→	)	no	→	2
no	→	action	no	2
action	no	;	action	4
;	action	remain	;	4
remains	;	a	remain	4
a	remain	verification	a	4
verification	a	record	verification	4
record	verification	.	record	4
.	record	-	.	8
-	-	n6	-	2
N6	-	(	n6	2
(	n6	lcnc	(	3
LCNC	(	package	lcnc	2
package	lcnc	absent	package	4
absent	package	from	absent	4
from	absent	spine	from	4
spine	from	)	spine	2
)	spine	—	)	2
—	)	defer	—	2
deferred	—	(	defer	2
(	defer	decision	(	2
decision	(	,	decision	2
,	decision	not	,	2
not	,	prose	not	3
prose	not	)	prose	2
)	prose	:	)	2
:	)	the	:	15
the	:	package	the	2
package	the	be	package	4
is	package	still	be	4
still	be	self	still	4
self	still	-	self	4
-	self	enclose	-	8
enclosed	-	with	enclose	4
with	enclose	zero	with	4
zero	with	external	zero	4
external	zero	consumer	external	4
consumers	external	.	consumer	6
.	consumer	-	.	12
-	-	n7	-	2
N7	-	(	n7	2
(	n7	task	(	2
task	(	-	task	6
-	task	ledger	-	2
ledger	-	pointer	ledger	2
pointer	ledger	)	pointer	2
)	pointer	→	)	2
"	a	Task	"	4
Task	"	ledger	Task	4
ledger	Task	"	ledger	4
"	ledger	line	"	4
New	-	doc	new	2
doc	new	edit	doc	2
edits	doc	for	edit	2
for	edit	the	for	2
the	for	2026-07-19	the	2
2026-07-19	the	merge	2026-07-19	2
merges	2026-07-19	:	merge	2
:	merge	-	:	2
-	:	§	-	2
§	-	2	§	2
spine	2	:	spine	2
:	spine	add	:	2
added	:	a	add	6
a	add	row	a	2
row	a	note	row	2
noting	row	the	note	2
the	note	`	the	2
`	the	resource	`	2
resources	`	/	resource	19
`	/	consolidation	`	4
consolidation	`	and	consolidation	2
and	consolidation	`	and	2
`	and	generateforgeasset	`	2
`	generateforgeasset	symbol	`	2
symbol	`	-	symbol	2
-	symbol	base	-	2
based	-	reference	base	2
reference	base	.	reference	2
.	reference	-	.	6
-	-	§	-	8
§	-	0	§	2
orientation	0	:	orientation	2
:	orientation	add	:	2
a	add	"	a	4
"	a	static	"	2
Static	"	asset	static	2
assets	static	"	asset	2
"	asset	line	"	2
line	"	point	line	2
pointing	line	at	point	2
at	point	`	at	2
`	at	resource	`	2
`	/	as	`	2
as	`	the	as	7
the	as	single	the	3
single	the	source	single	7
source	single	of	source	7
of	source	truth	of	9
truth	of	.	truth	4
.	truth	-	.	16
§	-	8.1	§	2
8.1	§	c	8.1	4
c	8.1	:	c	2
:	c	new	:	2
new	:	section	new	2
section	new	document	section	2
documenting	section	`	document	2
`	document	ProcessReactorEndpoint	`	4
`	ProcessReactorEndpoint	.	`	2
§	-	9	§	2
9	§	build	9	2
build	9	task	build	2
tasks	build	:	task	2
:	task	add	:	2
added	:	`	add	2
`	add	generateforgeasset	`	2
`	generateforgeasset	with	`	2
with	`	a	with	7
a	with	one	a	2
one	a	-	one	3
-	one	line	-	2
line	-	contract	line	2
contract	line	.	contract	2
.	contract	-	.	21
§	-	10	§	2
10	§	reading	10	2
reading	10	path	reading	2
paths	reading	:	path	2
:	path	add	:	2
"	a	process	"	2
Process	"	reactor	process	2
reactor	process	"	reactor	2
"	reactor	row	"	2
row	"	and	row	2
and	row	add	and	2
added	and	`	add	2
`	add	resource	`	2
`	/	+	`	3
+	`	`	+	89
`	+	generateforgeasset	`	5
`	generateforgeasset	to	`	2
to	`	the	to	5
the	to	Gallery	the	2
Gallery	the	/	Gallery	2
/	Gallery	Pages	/	7
Pages	/	row	Pages	2
row	Pages	.	row	2
.	row	-	.	5
##	-	re-scored	##	2
Re-scored	##	prior	re-scored	2
prior	re-scored	finding	prior	2
findings	prior	-	finding	2
|	-	id	|	4
ID	|	|	id	4
|	id	prior	|	2
Prior	|	claim	prior	2
claim	prior	|	claim	2
|	claim	live	|	2
Live	|	-	live	2
-	live	tree	-	2
tree	-	status	tree	2
status	tree	|	status	2
|	status	verdict	|	2
Verdict	|	|	verdict	2
|	verdict	|	|	2
|	|	----	|	5
----	|	|	----	5
|	----	---	|	2
---	|	|	---	83
|	---	---	|	51
|	---	|	|	28
|	|	g1	|	2
G1	|	|	g1	2
|	g1	Oroboros	|	2
Oroboros	|	be	Oroboros	2
is	Oroboros	a	be	2
a	be	substantial	a	2
substantial	a	undocumented	substantial	2
undocumented	substantial	subsystem	undocumented	2
subsystem	undocumented	;	subsystem	2
;	subsystem	component	;	2
components	;	test	component	2
tested	component	but	test	2
but	test	uncompose	but	2
uncomposed	but	|	uncompose	2
|	uncompose	`	|	2
`	|	rg	`	2
rg	`	'	rg	4
'	rg	borg.trikeshed.util.oroboros	'	2
borg.trikeshed.util.oroboros	'	'	borg.trikeshed.util.oroboros	2
'	borg.trikeshed.util.oroboros	src	'	2
src	'	-	src	2
-	src	g	-	2
g	-	'	g	4
'	g	!	'	4
!	'	-	!	4
src	-	/	src	4
/	commonmain	...	/	13
...	/	/	...	20
/	...	oroboros	/	2
oroboros	/	/	oroboros	7
/	oroboros	**	/	2
**	/	'	**	2
'	**	-	'	2
-	'	g	-	2
*	-	test.kt	*	2
Test.kt	*	'	test.kt	2
'	test.kt	`	'	2
`	'	→	`	2
**	→	1	**	2
1	**	hit	1	2
hit	1	**	hit	2
**	hit	,	**	2
,	**	and	,	2
and	,	that	and	2
that	and	hit	that	2
hit	that	be	hit	2
is	hit	`	be	2
`	be	src	`	2
/	src	commontest	/	8
commonTest	/	/	commontest	8
/	commontest	...	/	2
/	...	fakefileoperations.kt	/	2
FakeFileOperations.kt	/	`	fakefileoperations.kt	2
`	fakefileoperations.kt	.	`	2
Zero	-	non-test	zero	3
non-test	zero	external	non-test	2
external	non-test	consumer	external	2
`	-	oroborosnetwork.kt	`	2
OroborosNetwork.kt	`	:	oroborosnetwork.kt	2
:	oroborosnetwork.kt	53	:	2
53	:	`	53	2
`	53	still	`	2
still	`	carry	still	2
carries	still	`	carry	2
`	carry	/	`	2
/	`	/	/	3
/	/	...	/	2
...	/	mock	...	2
mocked	...	for	mock	2
for	mock	testing	for	2
testing	for	test	testing	2
tests	testing	`	test	2
`	test	with	`	2
a	with	`	a	7
`	a	frame.tostring	`	2
frame.toString	`	(	frame.tostring	2
(	frame.tostring	)	(	2
)	(	==	)	2
==	)	"	==	2
"	==	MOCK_PAYLOAD	"	2
MOCK_PAYLOAD	"	"	MOCK_PAYLOAD	2
"	MOCK_PAYLOAD	`	"	2
`	"	extractor	`	2
extractor	`	.	extractor	2
.	extractor	-	.	2
|	-	**	|	26
**	|	OPEN	**	2
OPEN	**	,	OPEN	2
,	OPEN	unchanged	,	2
unchanged	,	.	unchanged	12
.	unchanged	-	.	14
**	-	component	**	2
Components	**	exist	component	2
exist	component	,	exist	2
,	exist	no	,	2
no	,	production	no	2
production	no	composition	production	2
composition	production	root	composition	2
root	composition	,	root	2
,	root	mock	,	2
mock	,	remains	mock	2
remains	mock	.	remains	2
.	remains	-	.	2
Code	-	gap	Code	2
gap	Code	,	gap	2
,	gap	not	,	4
not	,	a	not	39
a	not	doc	a	2
doc	a	gap	doc	2
gap	doc	.	gap	2
.	gap	-	.	11
|	-	|	|	48
|	|	g2	|	2
G2	|	|	g2	2
|	g2	couch	|	2
Couch	|	cqrs	couch	2
CQRS	couch	doc	cqrs	2
docs	cqrs	claim	doc	2
claim	doc	job	claim	2
Job	claim	/	job	2
/	job	cid	/	2
CID	/	semantics	cid	2
semantics	cid	the	semantics	2
the	semantics	impl	the	2
impl	the	do	impl	2
does	impl	not	do	2
not	do	provide	not	2
provide	not	|	provide	2
|	provide	`	|	2
`	|	couchstore.inmemory	`	2
CouchStore.inMemory	`	(	couchstore.inmemory	2
(	couchstore.inmemory	)	(	2
)	(	`	)	137
`	)	and	`	5
and	`	`	and	44
`	and	withpersistence	`	2
withPersistence	`	(	withpersistence	2
(	withpersistence	)	(	2
`	)	now	`	4
now	`	both	now	2
both	now	build	both	2
build	both	a	build	2
a	build	**	a	2
**	a	`	**	2
`	**	ProductionCouchIngress	`	2
ProductionCouchIngress	`	`	ProductionCouchIngress	2
`	ProductionCouchIngress	**	`	2
(	**	`	(	24
`	(	couchstore.kt	`	4
CouchStore.kt	`	:	couchstore.kt	4
:	couchstore.kt	257264	:	2
257,264	:	`	257264	2
`	257264	)	`	2
)	`	;	)	6
;	)	`	;	8
`	;	SyncTestIngress	`	2
SyncTestIngress	`	`	SyncTestIngress	2
`	SyncTestIngress	(	`	2
(	`	`	(	50
:	couchstore.kt	215	:	2
215	:	`	215	2
`	215	)	`	2
)	`	still	)	2
still	)	exist	still	2
exists	still	as	exist	2
as	exist	a	as	2
a	as	nest	a	2
nested	a	class	nest	2
class	nest	but	class	2
but	class	be	but	2
is	but	no	be	4
no	be	long	no	4
longer	no	the	long	4
the	long	default	the	2
default	the	factory	default	2
factory	default	path	factory	2
path	factory	.	path	2
.	path	-	.	23
`	-	CouchHeadProjection	`	2
CouchHeadProjection	`	`	CouchHeadProjection	7
`	CouchHeadProjection	still	`	2
still	`	store	still	2
stores	still	the	store	2
the	store	raw	the	2
raw	the	revision	raw	2
revision	raw	string	revision	2
string	revision	(	string	2
(	string	`	(	2
`	(	couchheadprojection.kt	`	2
CouchHeadProjection.kt	`	:	couchheadprojection.kt	2
:	couchheadprojection.kt	24	:	2
24	:	-	24	2
-	24	56	-	2
56	-	`	56	2
`	56	)	`	2
)	`	—	)	8
—	)	no	—	3
no	—	cid	no	2
CID	no	-	cid	2
-	cid	derive	-	16
derived	-	`	derive	10
`	derive	_	`	10
_	`	id	_	10
id	_	`	id	10
`	id	/	`	10
`	/	_	`	10
_	`	rev	_	15
rev	_	`	rev	15
`	rev	.	`	3
**	|	partially	**	6
PARTIALLY	**	close	partially	6
CLOSED	partially	,	close	6
,	close	unchanged	,	10
**	-	`	**	9
`	**	concepts.md	`	4
`	concepts.md	couch	`	2
Couch	`	prose	couch	2
prose	couch	update	prose	2
updated	prose	to	update	2
to	update	say	to	2
say	to	"	say	2
"	say	revision	"	4
revision	"	string	revision	4
string	revision	store	string	15
stored	string	raw	store	15
raw	store	;	raw	9
;	raw	cid	;	9
CID	;	-	cid	9
derived	-	revision	derive	4
revisions	derive	not	revision	4
not	revision	yet	not	4
yet	not	implement	yet	6
implemented	yet	"	implement	4
"	implement	.	"	2
